time_seconds,mode,font_size,color,timestamp,pool,user_hash,danmaku_id,raw_text,clean_text,normalized_text,is_duplicate_like,is_spam_like,is_symbol_only,text_length,priority_score,evidence_weight
91.591,1,25,#FFFFFF,1762869492,0,38b30ea6,1977851671128158464,我脸盲，这些是同一个人吗,我脸盲，这些是同一个人吗,我脸盲，这些是同一个人吗,False,False,False,12,3.35,3.35
94.493,1,25,#FFFFFF,1773893755,0,53ba5fe9,2070329891261981440,？,？,？,True,True,True,1,0.0,0.1
94.654,1,25,#FFFFFF,1762845805,0,46bc08a6,1977652968543638784,战歌时间 放广告？,战歌时间 放广告？,战歌时间放广告？,False,False,False,9,3.55,3.55
95.133,1,25,#FFFFFF,1763820504,0,faeb9d29,1985829335743290368,？,？,？,True,True,True,1,0.0,0.1
95.436,1,25,#FFFFFF,1762869604,0,38b30ea6,1977852607364178432,火锅怎么吃薯条,火锅怎么吃薯条,火锅怎么吃薯条,False,False,False,7,2.933,2.933
95.5,1,25,#FFFFFF,1770122045,0,40c752e0,2038690494624352768,？,？,？,True,True,True,1,0.0,0.1
97.229,5,25,#FFFF00,1762961571,0,13d68831,1978624083147658240,广告赛区,广告赛区,广告赛区,True,False,False,4,2.933,1.7322770481358976
97.743,1,25,#FFFFFF,1763581224,0,ed63b7d7,1983822111902455040,？,？,？,True,True,True,1,0.0,0.1
100.439,1,25,#FFFFFF,1762958146,0,4046cb10,1978595354832129536,记得看到突然的广告后的表情,记得看到突然的广告后的表情,记得看到突然的广告后的表情,False,False,False,13,3.433,3.433
102.356,1,25,#FFFFFF,1763472120,0,18472353,1982906880292907776,好看,好看,好看,False,False,False,2,1.967,1.967
103.635,1,25,#FFFFFF,1764003940,0,b798b89c,1987368113783928576,记得无语了,记得无语了,记得无语了,False,False,False,5,2.767,2.767
104.789,1,25,#FFFFFF,1763622030,0,7cd07fc1,1984164418774832640,？,？,？,True,True,True,1,0.0,0.1
105.543,5,25,#FFFF00,1762961597,0,13d68831,1978624302165540864,记得都傻了，还能这么玩？,记得都傻了，还能这么玩？,记得都傻了，还能这么玩？,False,False,False,12,4.05,4.05
107.22,5,25,#FFFFFF,1762698266,0,c02ae6c5,1976415323158984192,神人导播，广告是硬切的，战歌是不放的,神人导播，广告是硬切的，战歌是不放的,神人导播，广告是硬切的，战歌是不放的,False,False,False,18,4.1,4.1
107.563,1,25,#FFFFFF,1763622040,0,7cd07fc1,1984164497292235264,广告赛区,广告赛区,广告赛区,True,False,False,4,2.683,1.5846230208484873
108.6,1,25,#FFFFFF,1763740620,0,999b8d0,1985159225651193856,ruita ,ruita,ruita,False,False,False,5,2.417,2.417
110.185,1,25,#FFFFFF,1762836407,0,dc7921f7,1977574132413956096,nb，这都能插上广告,nb，这都能插上广告,nb，这都能插上广告,False,False,False,10,3.183,3.183
121.188,1,25,#FFFFFF,1780151354,0,60f19f8,2122822439867862016,玩不起赛区，战歌都没,玩不起赛区，战歌都没,玩不起赛区，战歌都没,False,False,False,10,3.183,3.183
133.053,1,25,#FFFFFF,1773160298,0,a26331aa,2064177207551259136,这就是战歌,这就是战歌,这就是战歌,False,False,False,5,2.767,2.767
134.215,1,25,#FFFFFF,1762961674,0,13d68831,1978624946612154112,刚才的广告给记得整不会了,刚才的广告给记得整不会了,刚才的广告给记得整不会了,False,False,False,12,3.35,3.35
134.789,1,25,#FFFFFF,1763035213,0,1c687d5e,1979241837244358144,川渝暴龙拉克丝,川渝暴龙拉克丝,川渝暴龙拉克丝,False,False,False,7,2.933,2.933
137.617,1,25,#FFFFFF,1763051850,0,e5ad2422,1979381399219968000,恭喜这个逼,恭喜这个逼,恭喜这个逼,False,False,False,5,2.767,2.767
144.686,1,25,#FFFFFF,1773071892,0,d47461dc,2063435603575412992,这记得懵了,这记得懵了,这记得懵了,False,False,False,5,2.767,2.767
148.426,1,25,#FFFFFF,1762857563,0,38b30ea6,1977751605034287104,这回音太大了,这回音太大了,这回音太大了,False,False,False,6,2.85,2.85
150.388,1,25,#FFFFFF,1763584003,0,b5ea0e31,1983845423164988416,就抽一个，扣,就抽一个，扣,就抽一个，扣,False,False,False,6,2.85,2.85
151.019,1,25,#FFFFFF,1762783061,0,845fd38a,1977126635333248256,三个平台抽一个人,三个平台抽一个人,三个平台抽一个人,False,False,False,8,3.017,3.017
155.603,1,25,#FFFFFF,1764004029,0,b798b89c,1987368855605309184,笑死，记得说了半天全是广告，自己都无语了,笑死，记得说了半天全是广告，自己都无语了,笑死，记得说了半天全是广告，自己都无语了,False,False,False,20,4.467,4.467
162.094,1,25,#FFFFFF,1762795227,0,4aa0eb98,1977228687514595072,此时还没意识到现在就在放“战歌”,此时还没意识到现在就在放“战歌”,此时还没意识到现在就在放“战歌”,False,False,False,16,3.683,3.683
165.008,1,25,#FFFFFF,1763558762,0,14867e1c,1983633686923038464,仔细听，就是以前的战歌，名字都一样，只不过是交响乐,仔细听，就是以前的战歌，名字都一样，只不过是交响乐,仔细听，就是以前的战歌，名字都一样，只不过是交响乐,False,False,False,25,4.35,4.35
167.643,1,25,#FFFF00,1762850060,0,356f7d4b,1977688660576900096,战歌确实是放了，而且是交响乐remix版本,战歌确实是放了，而且是交响乐remix版本,战歌确实是放了，而且是交响乐remix版本,False,False,False,21,4.1,4.1
170.297,1,25,#FFFFFF,1762802684,0,b41cdefc,1977291242942007040,LOL的竞争还是太弱了，老是T1夺冠,LOL的竞争还是太弱了，老是T1夺冠,lol的竞争还是太弱了，老是t1夺冠,False,False,False,18,3.85,3.85
170.408,1,25,#FFFFFF,1762865022,0,98c3b7d1,1977814176273944576,战歌？,战歌？,战歌？,True,False,False,3,2.05,1.2107630237567644
170.689,1,25,#FFFFFF,1773318905,0,d33c6d92,2065507700129064192,恐怕听不到了,恐怕听不到了,恐怕听不到了,False,False,False,6,2.85,2.85
173.126,5,25,#FFFF00,1762961726,0,13d68831,1978625387785658880,所以战歌呢？,所以战歌呢？,所以战歌呢？,False,False,False,6,3.55,3.55
173.388,1,25,#FFFFFF,1762785692,0,c3e7605,1977148702909419520,这个也不难听吧，只是不放战歌大家听不习惯,这个也不难听吧，只是不放战歌大家听不习惯,这个也不难听吧，只是不放战歌大家听不习惯,False,False,False,20,4.017,4.017
174.098,1,25,#FFFFFF,1763182792,0,2a57eaf8,1980479818239826176,？,？,？,True,True,True,1,0.0,0.1
174.853,1,25,#FFFFFF,1770295748,0,366448ce,2040147623474241792,空座有点多哈哈哈，韩国内战还真没啥人看,空座有点多哈哈哈，韩国内战还真没啥人看,空座有点多哈哈哈，韩国内战还真没啥人看,False,False,False,19,4.383,4.383
175.074,1,25,#FFFFFF,1762875003,0,14582be7,1977897897232366848,这就是战歌啊，交响乐版的,这就是战歌啊，交响乐版的,这就是战歌啊，交响乐版的,False,False,False,12,3.35,3.35
176.858,1,25,#FFFFFF,1767768346,0,d82efec7,2018946236547691008,丢人现眼的操作，非得恶心一下把战歌改一下，非得做点不一样的？,丢人现眼的操作，非得恶心一下把战歌改一下，非得做点不一样的？,丢人现眼的操作，非得恶心一下把战歌改一下，非得做点不一样的？,False,False,False,30,4.8,4.8
178.897,1,25,#FFFFFF,1763182800,0,2a57eaf8,1980479886799745536,战歌？,战歌？,战歌？,True,False,False,3,2.05,1.2107630237567644
179.104,1,25,#FFFFFF,1762912535,0,570359c7,1978212745413799168,现在这首就是战歌,现在这首就是战歌,现在这首就是战歌,False,False,False,8,3.017,3.017
181.022,1,25,#FFFFFF,1766466541,0,7da6ef67,2008025905364071168,就俩败笔，第一是让物资颁奖，恶心韩国人，第二是不放战歌恶心skt,就俩败笔，第一是让物资颁奖，恶心韩国人，第二是不放战歌恶心skt,就俩败笔，第一是让物资颁奖，恶心韩国人，第二是不放战歌恶心skt,False,False,False,32,4.35,4.35
181.587,1,25,#683A7B,1767253499,0,e2f1856c,2014627388553905152,交响乐版本,交响乐版本,交响乐版本,False,False,False,5,2.767,2.767
186.796,1,25,#FFFFFF,1762959578,0,2986ee3f,1978607365406644480,新战歌不错的,新战歌不错的,新战歌不错的,False,False,False,6,2.85,2.85
189.224,1,25,#FFFFFF,1763270579,0,a314d1db,1981216236377975296,没激情啊,没激情啊,没激情啊,False,False,False,4,2.683,2.683
189.686,5,25,#FFFFFF,1763546653,0,b5499265,1983532105569432064,faker：此生仅有的机会我打八场,faker：此生仅有的机会我打八场,faker：此生仅有的机会我打八场,False,False,False,17,4.017,4.017
190.554,1,25,#FFFFFF,1770531367,0,891704e9,2042124134112244224,其实决赛交响乐战歌更神圣更激昂啊，创新的不赖,其实决赛交响乐战歌更神圣更激昂啊，创新的不赖,其实决赛交响乐战歌更神圣更激昂啊，创新的不赖,False,False,False,22,4.183,4.183
192.093,1,25,#FFFFFF,1782029973,0,c5609965,2138581435756942592,许秀：他说的都是我的词,许秀：他说的都是我的词,许秀：他说的都是我的词,False,False,False,11,3.267,3.267
192.156,1,25,#FFFFFF,1764122778,0,fd9637b3,1988364999131457536,这交响乐巨难听,这交响乐巨难听,这交响乐巨难听,False,False,False,7,2.933,2.933
194.667,1,25,#FFFFFF,1763171522,0,b8d839f,1980385285674303232,这个出场，衣服上的5颗星星，吓人！,这个出场，衣服上的5颗星星，吓人！,这个出场，衣服上的5颗星星，吓人！,False,False,False,17,3.767,3.767
194.834,1,25,#FFFFFF,1778580627,0,8191b087,2109646219575566848,这个交响乐版本的战歌还是挺不错的,这个交响乐版本的战歌还是挺不错的,这个交响乐版本的战歌还是挺不错的,False,False,False,16,3.683,3.683
194.977,1,25,#FFFFFF,1779274250,0,8191b087,2115464752960043520,史诗感更强的一版战歌,史诗感更强的一版战歌,史诗感更强的一版战歌,False,False,False,10,3.183,3.183
196.707,1,25,#FFFFFF,1762838595,0,f7daf5f5,1977592490899276800,这个新版的明明很不错啊，非要一成不变么,这个新版的明明很不错啊，非要一成不变么,这个新版的明明很不错啊，非要一成不变么,False,False,False,19,3.933,3.933
